timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616527394431,142,12,200,OK,Kcb_questions 1-1,text,true,,1354,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,142,0,0
1616527394575,855,13,200,OK,Kcb_questions 1-1,text,true,,1090,942,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,855,0,0
1616527395432,232,14,200,OK,Kcb_questions 1-1,text,true,,1090,930,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,232,0,112
1616527395666,88,15,200,OK,Kcb_questions 1-1,text,true,,1274,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,88,0,0
1616527395755,81,16,200,OK,Kcb_questions 1-1,text,true,,1264,960,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,81,0,0
1616527395838,182,17,200,OK,Kcb_questions 1-1,text,true,,1073,948,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,182,0,0
1616527396022,123,18,200,OK,Kcb_questions 1-1,text,true,,1061,938,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,123,0,0
1616527396147,112,19,200,OK,Kcb_questions 1-1,text,true,,1384,932,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,112,0,0
1616527396261,110,20,200,OK,Kcb_questions 1-1,text,true,,1300,936,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,110,0,0
1616527396372,111,21,200,OK,Kcb_questions 1-1,text,true,,1343,934,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,111,0,0
1616527396485,189,22,200,OK,Kcb_questions 1-1,text,true,,1040,929,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,189,0,0
1616527396676,158,23,200,OK,Kcb_questions 1-1,text,true,,1460,981,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,158,0,0
1616527396835,2417,AUTHENTICATE,200,OK,Kcb_questions 1-1,text,true,,960,971,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/event,2417,0,127
1616527399254,9400,1,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 9,400 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1026,942,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,9400,0,120
1616527408656,4559,2,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,559 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1276,927,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4559,0,112
1616527413217,6075,3,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 6,075 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1169,968,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,6075,0,119
1616527419294,477,4,200,OK,Kcb_questions 1-1,text,true,,1137,927,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,477,0,157
1616527419773,452,5,200,OK,Kcb_questions 1-1,text,true,,1163,964,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,452,0,0
1616527420226,420,6,200,OK,Kcb_questions 1-1,text,true,,1137,927,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,420,0,0
1616527420647,134,7,200,OK,Kcb_questions 1-1,text,true,,1436,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,134,0,0
1616527420783,132,8,200,OK,Kcb_questions 1-1,text,true,,1436,948,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,132,0,0
1616527420916,192,9,200,OK,Kcb_questions 1-1,text,true,,1015,957,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,192,0,0
1616527421110,122,10,200,OK,Kcb_questions 1-1,text,true,,1091,951,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,122,0,0
1616527421233,102,11,200,OK,Kcb_questions 1-1,text,true,,1277,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,102,0,0
1616527421336,259,12,200,OK,Kcb_questions 1-1,text,true,,1355,948,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,259,0,123
